COIL,CLUSTER,DIF_TIPO_1_max,DIF_TIPO_2_max,DIF_TIPO_3_max,DIF_TIPO_4_max,DIF_TIPO_5_max,DIF_TIPO_6_max
396021,4,0,0,0,0,0,0
396022,3,0,0,0,0,0,0
396023,3,0,0,0,0,0,0
396027,3,0,0,0,0,0,0
396031,3,0,0,0,0,0,0
396037,3,0,0,0,0,0,0
396038,3,0,0,0,0,0,0
396039,3,0,0,0,0,0,0
396110,3,0,0,1,0,0,0
396111,5,0,0,1,0,0,0
396112,3,0,1,0,1,1,0
396113,5,0,0,1,0,0,0
396310,3,0,0,0,1,0,0
396315,4,0,1,1,0,0,0
396316,4,0,0,1,0,0,0
396317,4,0,0,1,0,0,0
396318,4,1,0,1,1,0,0
396319,4,1,0,1,1,0,0
396320,4,0,0,0,0,0,0
396321,4,0,0,0,0,0,0
396322,4,0,0,0,0,0,0
396324,4,0,0,0,0,0,0
396326,4,0,0,0,0,0,0
396327,4,0,0,0,0,0,0
396328,4,0,0,0,0,0,0
396331,4,0,0,0,0,0,0
396410,3,0,0,0,0,0,0
396411,3,1,0,0,0,0,0
396412,3,0,0,0,0,1,0
396413,3,0,0,0,0,0,0
396414,3,0,0,0,0,0,0
396415,3,0,0,0,1,0,0
396426,3,0,0,0,0,0,0
396428,3,0,0,0,0,0,0
396430,3,0,0,0,1,0,0
396514,3,0,0,0,0,0,0
396515,3,0,0,1,0,0,0
396523,5,0,0,0,0,0,0
396611,4,1,0,1,1,0,0
396612,3,0,0,0,0,0,0
396613,3,0,1,1,1,0,0
397110,1,0,0,0,0,0,0
397114,4,0,0,1,0,0,0
397115,4,0,0,1,0,0,0
397116,4,0,1,1,0,0,0
397117,4,0,0,1,0,0,0
397118,4,0,0,1,0,0,0
397120,4,0,0,0,0,0,0
397121,4,0,0,1,0,0,0
397124,4,1,0,1,1,0,0
397512,4,0,0,0,0,0,0
397516,3,0,0,0,0,0,0
397518,5,0,0,0,0,0,0
397522,5,0,0,0,0,0,0
397526,5,0,0,0,0,0,0
397527,3,0,0,0,0,0,0
397528,5,0,0,0,0,0,0
397529,5,0,0,0,0,0,0
397533,3,0,0,0,0,0,0
397534,3,0,0,0,0,0,0
397535,3,0,0,0,0,0,0
397540,3,0,0,0,0,0,0
397611,3,0,0,0,0,0,0
397614,5,0,0,0,0,0,0
397615,5,0,0,0,0,0,0
397810,3,0,0,0,0,0,0
397823,3,0,0,0,1,0,0
398220,1,0,0,0,0,0,0
398526,5,0,0,0,1,0,0
398614,4,0,1,1,0,0,0
398616,4,0,0,0,0,0,0
398617,4,0,0,1,0,0,0
398618,4,0,0,1,0,0,0
398619,4,0,0,1,0,0,0
398620,4,0,0,1,1,0,0
398631,4,0,0,0,0,0,0
398632,4,0,0,0,0,0,0
398633,4,0,0,0,0,0,0
398634,4,0,0,0,0,0,0
398635,4,0,0,0,0,0,0
398636,4,0,0,0,0,0,0
398637,4,0,0,0,0,0,0
398638,4,0,0,0,0,0,0
398639,4,0,0,0,0,0,0
398640,4,0,0,0,0,0,0
398815,5,0,0,0,1,0,0
398920,4,0,1,0,1,0,0
399014,5,0,0,0,0,0,0
399015,5,0,0,0,0,0,0
399111,3,1,0,0,0,0,0
399132,1,0,0,0,0,0,0
399141,3,0,0,0,0,0,0
399513,4,0,0,0,0,0,0
399519,5,0,0,0,0,0,0
399521,5,0,0,0,0,0,0
399711,3,0,0,0,0,0,0
399713,3,0,0,0,0,0,0
399715,5,0,0,0,0,0,0
399719,5,0,0,0,0,0,0
399734,5,0,0,0,0,0,0
399735,5,0,0,0,0,0,0
399736,5,0,0,0,0,0,0
399737,5,0,0,0,0,0,0
